NAME,CATEGORY,RATING,TELEPHONE,FAX,WEBSITE,EMAIL,ADDRESS
Einhorn-Apotheke A. Kuhlen,Apotheken,"4,0",+49221611160,0221 61 32 55,einhornapotheke-koeln.de,info@einhornapotheke-koeln.de,"Buchheimer Str. 61, 
51063 
Köln"
Malven-Apotheke,Apotheken,"3,4",+49221637016,0221 63 71 87,http://www.malven-apo.de,info@malven-apo.de,"Honschaftsstr. 335, 
51061 
Köln"
HANSA APOTHEKE,Apotheken,"4,9",+49221731892,0221 7 32 69 09,http://www.hansa-apotheke-koeln.de,info@hansa-apotheke-koeln.de,"Ebertplatz 7, 
50668 
Köln"
maris Apotheke Köln-Nippes,Apotheken,"5,0",+4922112062920,0221 12 06 29 21,http://www.maris-apotheke.de,info@maris-apotheke.de,"Neusser Str. 210, 
50733 
Köln-Nippes"
Alexander Fleming Apotheke,Apotheken,"5,0",+49221726262,0221 73 05 52,http://www.alexander-fleming-apotheke.de,info@alexander-fleming-apotheke.de,"Sudermanstr. 1, 
50670 
Köln"
Ahorn-Apotheke Wolfgang Wirtz,Apotheken,"5,0",+49221417220,,http://www.ahorn-apotheke.de,ahornapo@t-online.de,"Luxemburger Str. - Ecke Hardtstr. 40, 
50939 
Köln"
Max und Moritz Apotheke,Apotheken,"5,0",+492215902166,,http://www.max-und-moritz-apotheke-koeln.de,info@max-und-moritz-apotheke-koeln.de,"Donatusstr. 2, 
50767 
Köln-Pesch"
Christoph,Apotheken,"5,0",+49221135003,0221 13 50 04,http://www.christoph-apotheke-koeln.de,christophapotheke@t-online.de,"Kaiser-Wilhelm-Ring 36, 
50672 
Köln-Neustadt-Nord"
Elefanten Apotheke,Apotheken,"1,0",+49221747355,0221 74 24 26,http://www.elefantenapo24.de,info@elefanten-apo24.de,"Merheimer Str. 369, 
50739 
Köln"
Schwanen-Apotheke,Apotheken,"5,0",+492219253654,,,serviceteam@schwanenapotheke-koeln.de,"Breite Str. 141-143, 
50667 
Köln-Altstadt-Nord"
Schwanen-Apotheke,Apotheken,"5,0",+492219253654,,,serviceteam@schwanenapotheke-koeln.de,"Breite Str. 141-143, 
50667 
Köln-Altstadt-Nord"
Birken Apotheke,Apotheken,"4,3",+4915201309682,,8625.apotheken-website-vorschau.de,info@birkenapotheke.de,"Hohenstaufenring 59, 
50674 
Köln-Neustadt-Süd"
